"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
539819,"Apogy (Archived)","General","apogy-inbox","UNCONFIRMED"," ---","An night/day at location Orbit Planner Constraint type should created.","2018-10-04 16:28:53"
544141,"Apogy (Archived)","General","apogy-inbox","UNCONFIRMED"," ---","A Proxy pattern should be made available for system instances","2019-02-05 09:09:57"
551571,"Apogy (Archived)","General","apogy-inbox","UNCONFIRMED"," ---","Display Units Preferences","2019-09-27 11:35:29"
559785,"Apogy (Archived)","General","apogy-inbox","UNCONFIRMED"," ---","Apogy should provide a Lunar Surface Worksite","2020-02-03 09:21:00"
561391,"Apogy (Archived)","General","apogy-inbox","UNCONFIRMED"," ---","Apogy should provide a biac infrastructure to make use of MQTT","2020-03-23 16:06:15"
566084,"Apogy (Archived)","General","apogy-inbox","UNCONFIRMED"," ---","Update to OREKit should be made to use latest release (10.2)","2020-08-14 11:25:25"
560609,"App4mc","General","app4mc-inbox","UNCONFIRMED"," ---","Update/create Oomph setup","2020-07-20 07:51:09"
562820,"App4mc","UI","app4mc-inbox","UNCONFIRMED"," ---","App4mc crashes on visualizing items on non x11 display servers","2020-05-05 06:11:46"
570871,"App4mc","Cloud","app4mc-inbox","UNCONFIRMED"," ---","Add threading support for workflow execution","2021-02-11 01:00:30"
571403,"App4mc","Cloud","app4mc-inbox","UNCONFIRMED"," ---","User Interface for Tree Workflow","2021-03-01 02:26:02"
571898,"App4mc","General","app4mc-inbox","UNCONFIRMED"," ---","*Boundaries SamplingType default case undefined","2021-03-18 17:54:03"
571916,"App4mc","General","app4mc-inbox","UNCONFIRMED"," ---","RelativePeriodicStimulus need Validation for lowerBound > 0","2021-03-16 11:17:48"
581696,"App4mc","Cloud","app4mc-inbox","UNCONFIRMED"," ---","Carnival Food Truck - Boardwalk Bites - Carnival Food Catering","2023-03-21 09:04:18"
582739,"App4mc","Cloud","app4mc-inbox","UNCONFIRMED"," ---","deva is very intelligent student","2023-12-14 14:20:01"
582740,"App4mc","Cloud","app4mc-inbox","UNCONFIRMED"," ---","ayush","2023-12-14 09:06:51"
582741,"App4mc","Cloud","app4mc-inbox","UNCONFIRMED"," ---","ayush","2023-12-14 09:07:04"
582742,"App4mc","Cloud","app4mc-inbox","UNCONFIRMED"," ---","Ayush eda","2023-12-14 09:08:49"
