bug_id,bug_severity,bug_status,component,creation_ts,delta_ts,description,dup_id,priority,product,resolution,short_desc,version
214065,normal,CLOSED,Report Engine,2008-01-02 00:34:00 -0500,2008-01-02 21:38:46 -0500,"Description:
[Regression]Group TOC are created automatically when preview in Web viewer and PDF

Build number: 
2.3.0.v200701012-1021

Steps to reproduce:
1, New a table binding with dataset
2, New a group on table and do not specify the group toc
3, Preview in Web viewer and PDF

Expected result:
No default TOC of group

Actual result:
Some empty group toc created automatically in preview

Error log:",[],P3,BIRT,FIXED,[Regression]Group TOC are created automatically when preview in Web viewer and PDF,2.3.0
214070,normal,RESOLVED,Data,2008-01-02 01:55:00 -0500,2008-01-02 04:14:41 -0500,"Output column page in data set editor used ResultSetColumnHandle. However, it cached ResultSetColumnHandle for output columns into a list. This could cause invalidation status of ResultSetColumnHandle later. 

It is better to retrieve ResultSetColumnHandle at the request instead of caching in a list.",[],P3,BIRT,FIXED,ResultSetColumnHandle should not be cached in Output Column page,2.3.0
214068,critical,CLOSED,Build,2008-01-02 01:35:00 -0500,2008-01-02 04:32:33 -0500,"Description:
[Regression]Failed to preview Chart Viewer Example in deploy environment

Build number: 
2.2.0.v20070102-1021

Steps to reproduce:
1, Deploy chart-viewer-sample.war in tomcat or jboss
2, Preview http://localhost:8080/chart-viewer-sample/index.jsp page

Expected result:
The preview is ok

Actual result:
Exception occurs

Error log:
java.lang.NoClassDefFoundError: org/apache/batik/transcoder/ErrorHandler
	java.lang.Class.forName0(Native Method)
	java.lang.Class.forName(Class.java:164)
	org.eclipse.birt.chart.util.PluginSettings.newInstance(PluginSettings.java:927)
	org.eclipse.birt.chart.util.PluginSettings.getDevice(PluginSettings.java:507)
	org.eclipse.birt.chart.api.ChartEngine.getRenderer(ChartEngine.java:116)
	org.eclipse.birt.chart.viewer.internal.util.ChartImageManager.generateStream(Unknown Source)
	org.eclipse.birt.chart.viewer.internal.util.ChartImageManager.generateImage(Unknown Source)
	org.eclipse.birt.chart.viewer.internal.util.ChartImageManager.<init>(Unknown Source)
	org.eclipse.birt.chart.viewer.internal.ChartRendererTag.doEndTag(Unknown Source)
	org.apache.jsp.index_jsp._jspx_meth_chart_renderChart_2(index_jsp.java:171)
	org.apache.jsp.index_jsp._jspService(index_jsp.java:132)
	org.apache.jasper.runtime.HttpJspBase.service(HttpJspBase.java:97)
	javax.servlet.http.HttpServlet.service(HttpServlet.java:803)
	org.apache.jasper.servlet.JspServletWrapper.service(JspServletWrapper.java:332)
	org.apache.jasper.servlet.JspServlet.serviceJspFile(JspServlet.java:314)
	org.apache.jasper.servlet.JspServlet.service(JspServlet.java:264)
	javax.servlet.http.HttpServlet.service(HttpServlet.java:803)",[],P3,BIRT,FIXED,[Regression]Failed to preview Chart Viewer Example in deploy environment,2.3.0
214072,normal,CLOSED,Report Engine,2008-01-02 02:10:00 -0500,2008-01-02 21:42:39 -0500,"Description:
  Exception is thrown out when link a label to another label.

Test Date:
20080102

Test Build:
BIRT2.3.0 Daily Build: v20080102-1021

Step to reproduce:

1. Creat a label, set text as ""label""
2. Set it's bookmark as ""label""
3. Add another label ""dde""and set its hyperlink as ""internal bookmark"", enter ""label"".
4. Preview report.

Error log:
org.eclipse.birt.report.service.api.ReportServiceException: Error happened while running the report; nested exception is: org.mozilla.javascript.EcmaError: ReferenceError: ""label"" is not defined. (#1) 
Show Exception Stack Trace 
Hide Exception Stack Trace  
Stack Trace:
 
org.mozilla.javascript.ScriptRuntime.constructError(ScriptRuntime.java:3350)
org.mozilla.javascript.ScriptRuntime.constructError(ScriptRuntime.java:3340)
org.mozilla.javascript.ScriptRuntime.notFoundError(ScriptRuntime.java:3413)
org.mozilla.javascript.ScriptRuntime.name(ScriptRuntime.java:1612)
org.mozilla.javascript.gen.c770._c0(:1)
org.mozilla.javascript.gen.c770.call()
org.mozilla.javascript.ContextFactory.doTopCall(ContextFactory.java:393)
org.mozilla.javascript.ScriptRuntime.doTopCall(ScriptRuntime.java:2834)
org.mozilla.javascript.gen.c770.call()
org.mozilla.javascript.gen.c770.exec()
org.eclipse.birt.core.script.ScriptContext.eval(ScriptContext.java:230)
org.eclipse.birt.core.script.ScriptContext.eval(ScriptContext.java:204)
org.eclipse.birt.report.engine.executor.ExecutionContext.evaluate(ExecutionContext.java:594)
org.eclipse.birt.report.engine.executor.ReportItemExecutor.evaluate(ReportItemExecutor.java:275)
org.eclipse.birt.report.engine.executor.ReportItemExecutor.processBookmark(ReportItemExecutor.java:295)
org.eclipse.birt.report.engine.executor.LabelItemExecutor.execute(LabelItemExecutor.java:63)
org.eclipse.birt.report.engine.internal.executor.dup.SuppressDuplicateItemExecutor.execute(SuppressDuplicateItemExecutor.java:42)
org.eclipse.birt.report.engine.internal.executor.wrap.WrappedReportItemExecutor.execute(WrappedReportItemExecutor.java:45)
org.eclipse.birt.report.engine.internal.executor.l18n.LocalizedReportItemExecutor.execute(LocalizedReportItemExecutor.java:33)
org.eclipse.birt.report.engine.layout.html.HTMLBlockStackingLM.layoutNodes(HTMLBlockStackingLM.java:63)
org.eclipse.birt.report.engine.layout.html.HTMLPageLM.layout(HTMLPageLM.java:85)
org.eclipse.birt.report.engine.layout.html.HTMLReportLayoutEngine.layout(HTMLReportLayoutEngine.java:106)
org.eclipse.birt.report.engine.api.impl.RunAndRenderTask.doRun(RunAndRenderTask.java:138)
org.eclipse.birt.report.engine.api.impl.RunAndRenderTask.run(RunAndRenderTask.java:66)
org.eclipse.birt.report.service.ReportEngineService.runAndRenderReport(Unknown Source)
org.eclipse.birt.report.service.ReportEngineService.runAndRenderReport(Unknown Source)
org.eclipse.birt.report.service.BirtViewerReportService.runAndRenderReport(Unknown Source)
org.eclipse.birt.report.service.actionhandler.BirtGetPageAllActionHandler.__execute(Unknown Source)
org.eclipse.birt.report.service.actionhandler.AbstractBaseActionHandler.execute(Unknown Source)
org.eclipse.birt.report.soapengine.processor.AbstractBaseDocumentProcessor.__executeAction(Unknown Source)
org.eclipse.birt.report.soapengine.processor.AbstractBaseComponentProcessor.executeAction(Unknown Source)
org.eclipse.birt.report.soapengine.processor.BirtDocumentProcessor.handleGetPageAll(Unknown Source)
sun.reflect.GeneratedMethodAccessor97.invoke(Unknown Source)
sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
java.lang.reflect.Method.invoke(Unknown Source)
org.eclipse.birt.report.soapengine.processor.AbstractBaseComponentProcessor.process(Unknown Source)
org.eclipse.birt.report.soapengine.endpoint.BirtSoapBindingImpl.getUpdatedObjects(Unknown Source)
sun.reflect.GeneratedMethodAccessor96.invoke(Unknown Source)
sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
java.lang.reflect.Method.invoke(Unknown Source)
org.apache.axis.providers.java.RPCProvider.invokeMethod(RPCProvider.java:397)
org.apache.axis.providers.java.RPCProvider.processMessage(RPCProvider.java:186)
org.apache.axis.providers.java.JavaProvider.invoke(JavaProvider.java:323)
org.apache.axis.strategies.InvocationStrategy.visit(InvocationStrategy.java:32)
org.apache.axis.SimpleChain.doVisiting(SimpleChain.java:118)
org.apache.axis.SimpleChain.invoke(SimpleChain.java:83)
org.apache.axis.handlers.soap.SOAPService.invoke(SOAPService.java:453)
org.apache.axis.server.AxisServer.invoke(AxisServer.java:281)
org.apache.axis.transport.http.AxisServlet.doPost(AxisServlet.java:699)
org.eclipse.birt.report.servlet.BirtSoapMessageDispatcherServlet.doPost(Unknown Source)
javax.servlet.http.HttpServlet.service(HttpServlet.java:616)
org.apache.axis.transport.http.AxisServletBase.service(AxisServletBase.java:327)
javax.servlet.http.HttpServlet.service(HttpServlet.java:689)
org.eclipse.equinox.http.registry.internal.ServletManager$ServletWrapper.service(ServletManager.java:180)
org.eclipse.equinox.http.servlet.internal.ServletRegistration.handleRequest(ServletRegistration.java:90)
org.eclipse.equinox.http.servlet.internal.ProxyServlet.processAlias(ProxyServlet.java:111)
org.eclipse.equinox.http.servlet.internal.ProxyServlet.service(ProxyServlet.java:59)
javax.servlet.http.HttpServlet.service(HttpServlet.java:689)
org.eclipse.equinox.http.jetty.internal.HttpServerManager$InternalHttpServiceServlet.service(HttpServerManager.java:270)
org.mortbay.jetty.servlet.ServletHolder.handle(ServletHolder.java:428)
org.mortbay.jetty.servlet.ServletHandler.dispatch(ServletHandler.java:677)
org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:568)
org.mortbay.http.HttpContext.handle(HttpContext.java:1530)
org.mortbay.http.HttpContext.handle(HttpContext.java:1482)
org.mortbay.http.HttpServer.service(HttpServer.java:909)
org.mortbay.http.HttpConnection.service(HttpConnection.java:820)
org.mortbay.http.HttpConnection.handleNext(HttpConnection.java:986)
org.mortbay.http.HttpConnection.handle(HttpConnection.java:837)
org.mortbay.http.SocketListener.handleConnection(SocketListener.java:245)
org.mortbay.util.ThreadedServer.handle(ThreadedServer.java:357)
org.mortbay.util.ThreadPool$PoolThread.run(ThreadPool.java:534)",[],P3,BIRT,WORKSFORME,[Automation]Exception is thrown out when link a label to another label.,2.3.0
214071,normal,RESOLVED,SWT,2008-01-02 01:58:00 -0500,2009-01-23 15:01:34 -0500,"Build ID: M20070921-1145

Steps To Reproduce:
1. Start eclipse. Click on Help -> About Eclipse SDK.
2. About Eclipse SDK dialog would appear. Click on '?' help icon.
3. The help information pop-up comes up saying ""This dialog displays product information"".
4. Try to remove the pop-up information by clicking the mouse outside the popup
area.

More information:
Clicking anywhere outside the pop-up area does not remove the pop-up. To remove the pop-up focus needs to be changed to some other application or eclipse has to be minimized or closed. However, <esc> operation removes the pop-up.

This does not happen on Windows XP SP2.",[],P3,Platform,WORKSFORME,[Help] About eclipse help pop-up information does not vanish for off focus,3.3.1
214069,critical,CLOSED,Build,2008-01-02 01:39:00 -0500,2008-01-02 04:47:17 -0500,"Description:
[Regression]Failed to preview Chart Viewer Example in deploy environment

Build number: 
2.2.0.v20070102-1021

Steps to reproduce:
1, Deploy chart-viewer-sample.war in tomcat or jboss
2, Preview http://localhost:8080/chart-viewer-sample/index.jsp page

Expected result:
The preview is ok

Actual result:
Exception occurs

Error log:
java.lang.NoClassDefFoundError: org/apache/batik/transcoder/ErrorHandler
	java.lang.Class.forName0(Native Method)
	java.lang.Class.forName(Class.java:164)
	org.eclipse.birt.chart.util.PluginSettings.newInstance(PluginSettings.java:927)
	org.eclipse.birt.chart.util.PluginSettings.getDevice(PluginSettings.java:507)
	org.eclipse.birt.chart.api.ChartEngine.getRenderer(ChartEngine.java:116)
	org.eclipse.birt.chart.viewer.internal.util.ChartImageManager.generateStream(Unknown Source)
	org.eclipse.birt.chart.viewer.internal.util.ChartImageManager.generateImage(Unknown Source)
	org.eclipse.birt.chart.viewer.internal.util.ChartImageManager.<init>(Unknown Source)
	org.eclipse.birt.chart.viewer.internal.ChartRendererTag.doEndTag(Unknown Source)
	org.apache.jsp.index_jsp._jspx_meth_chart_renderChart_2(index_jsp.java:171)
	org.apache.jsp.index_jsp._jspService(index_jsp.java:132)
	org.apache.jasper.runtime.HttpJspBase.service(HttpJspBase.java:97)
	javax.servlet.http.HttpServlet.service(HttpServlet.java:803)
	org.apache.jasper.servlet.JspServletWrapper.service(JspServletWrapper.java:332)
	org.apache.jasper.servlet.JspServlet.serviceJspFile(JspServlet.java:314)
	org.apache.jasper.servlet.JspServlet.service(JspServlet.java:264)
	javax.servlet.http.HttpServlet.service(HttpServlet.java:803)",214068,P3,BIRT,DUPLICATE,[Regression]Failed to preview Chart Viewer Example in deploy environment,2.3.0
214066,enhancement,RESOLVED,UI,2008-01-02 00:57:00 -0500,2010-07-22 13:41:45 -0400,"It is not possible to group by owner in the search view. Similarly this should become a first class presentation in the task list as well. I find the current drop down UI in the task list tool bar rather difficult to use as it requires multiple precise clicks. 

As an improvement I would suggest to make the ""Group by Owner"" presentation a separate toggle button in the tool bar and make the current presentation button only cycle between ""Categorized"" and ""Scheduled"" when pushed (the people button should probably be removed in ""Scheduled"" mode).",[],P2,Mylyn,FIXED,improve switching between task list presentations,unspecified
214067,enhancement,RESOLVED,Bugzilla,2008-01-02 01:29:00 -0500,2010-08-02 02:04:29 -0400,"Happy New Year Webmasters!

I'd like to propose to re-enable indexing of Eclipse.org Bugzilla through Google. From a comment on a similar BMO Bugzilla bug it seems that there is a way to make Google indexing less intrusive for a Bugzilla cluster.

For reference:
https://bugzilla.mozilla.org/show_bug.cgi?id=305744#c8

--- Comment #8 from [XXX]  2008-01-01 21:07:12 PST ---
I hear bugzilla 3.0 is faster so this performance is no longer such an issue.

[YYY], would you be so kind as to do an experiment?

1. reassign this bug to yourself
2. use the Google Webmaster Tools at https://www.google.com/webmasters/tools to
reduce Google's crawl speed on b.m.o to ""Slow""
3. add the following to the top of http://bugzilla.mozilla.org/robots.txt:
     User-agent: Googlebot
     Allow: /
4. see if:
     a) the mozilla community is overall happier now that b.m.o is indexed 
        by Google (darn useful), or
     b) unhappier because b.m.o is just a tiny bit more loaded.
5. if the truth is b), then undo step 4.",[],P3,Community,FIXED,Please let Google index the Eclipse.org Bugzilla,unspecified
214076,normal,CLOSED,Report Designer,2008-01-02 03:36:00 -0500,2009-07-09 22:16:43 -0400,"Description:
Copy and paste format will refresh too more times in properties[00]

Step:
1. Add two label named label1 and label2.
2. Open the properties tab.
3. Copy the format of label1 and paste on label2.

Actual result:
It will refreash much more times in properties tab.",[],P3,BIRT,FIXED,Copy and paste format will refresh too more times in properties[00],2.3.0
214075,normal,CLOSED,Report Designer,2008-01-02 03:35:00 -0500,2009-07-09 22:16:29 -0400,"Description:
row[""year""] instead of data[""year""] is selected from the list when set Highlight condition for Crosstab.

Build number: 
2.3.0.v20080102-1021

Steps to reproduce:
1. New a crosstab binding to a cube, specify for column and row area.
2. Set Hightlight condition for the crosstab, select from the drop-down list.

Expected result:
data[""year""].

Actual result:
row[""year""].

Error log:
N/A",[],P3,BIRT,FIXED,"[Regression] row[""year""] instead of data[""year""] is selected from the list when set Highlight condition for Crosstab [1102]",2.3.0
214078,normal,RESOLVED,Model,2008-01-02 03:48:00 -0500,2008-08-19 07:01:55 -0400,"Eclipse Build ID: M20071023-1652
Bpel plugin version: 0.3.0

Steps To Reproduce:
1.Create a new bpel file and open it with bpel designer
2.Add a ""if"" activity
3.Add an empty activity to the ""then"" part of the ""if""
4.Add a condition to the ""if"" activity
5.Save the file

More information:
The condition and the ""then"" activity are switched (in bpel spec the condition is before the activity).

The generated bpel is :
<bpws:if name=""If"">
  <bpws:empty name=""Empty""/>
  <bpws:condition><![CDATA[true()]]></bpws:condition>
</bpws:if>

it should be :
<bpws:if name=""If"">
  <bpws:condition><![CDATA[true()]]></bpws:condition>
  <bpws:empty name=""Empty""/>
</bpws:if>",[],P3,BPEL,WORKSFORME,Invalid bpel generated for If activity,unspecified
214073,major,CLOSED,Data,2008-01-02 03:11:00 -0500,2008-01-02 22:08:26 -0500,"Created attachment 85970
report design

Description:
Out of memory when preview the attached report with crosstab in Web Viewer.

Build number: 
2.3.0.v20080102-1021

Steps to reproduce:
1. Preview the attached report in Web Viewer.

Expected result:
Preview correctly.

Actual result:
Out of memory and it works fine in build (2.3.0.v20071221-1008).

Error log:
java.lang.ClassCastException:java.lang.OutOfMemoryError",214074,P3,BIRT,DUPLICATE,[regression] Out of memory when preview the attached report with crosstab in Web Viewer [1102],2.3.0
