centroid	data_point	distance
214068	214072	0.513213965
214068	214069	1
214068	214337	0.504342794
214072	214068	0.513213965
214072	214069	0.513213965
214072	214074	0.61568787
214072	214082	0.631378444
214072	214178	0.562519746
214072	214187	0.653174601
214072	214196	0.580202073
214072	214206	0.579743616
214072	214337	0.77463142
214072	214712	0.687265338
214069	214068	1
214069	214072	0.513213965
214069	214337	0.504342794
214073	214208	0.53830393
214080	214089	0.555352658
214080	214299	0.542150397
214074	214072	0.61568787
214074	214082	0.675534804
214074	214087	0.663948321
214074	214178	0.681111484
214074	214187	0.72955391
214074	214198	0.53293564
214074	214196	0.736253093
214074	214337	0.712106784
214074	214712	0.662757833
214074	214868	0.537834948
214082	214072	0.631378444
214082	214074	0.675534804
214082	214094	0.585444694
214082	214099	0.592588491
214082	214112	0.580405
214082	214123	0.595693225
214082	214187	0.504291942
214082	214198	0.606486436
214082	214301	0.528723892
214082	214303	0.506256825
214082	214304	0.561175016
214082	214305	0.533032424
214082	214306	0.533132245
214082	214333	0.585720426
214082	214337	0.773607936
214082	214343	0.606596117
214082	214364	0.536300825
214082	214377	0.594312207
214082	214396	0.55319422
214082	214407	0.582314138
214082	214415	0.57787694
214082	214444	0.566221758
214082	214556	0.552452718
214082	214609	0.557806413
214082	214611	0.567230437
214082	214647	0.543337701
214082	214701	0.526980545
214082	214712	0.887361631
214082	214733	0.563065458
214082	214777	0.518613175
214082	214834	0.551180205
214082	214841	0.559989781
214082	214868	0.599834003
214082	214914	0.568980615
214082	214950	0.59603565
214082	215008	0.591239068
214082	215014	0.579054129
214087	214074	0.663948321
214087	214178	0.557283429
214087	214187	0.571409388
214087	214196	0.582844608
214089	214080	0.555352658
214094	214082	0.585444694
214094	214099	0.894263941
214094	214110	0.602825061
214094	214112	0.867225179
214094	214123	0.891297671
214094	214141	0.573625917
214094	214167	0.562668724
214094	214172	0.513027346
214094	214193	0.572681196
214094	214198	0.834896191
214094	214263	0.656808684
214094	214301	0.697056567
214094	214303	0.664948759
214094	214304	0.755774798
214094	214305	0.706654169
214094	214306	0.706644307
214094	214333	0.815465208
214094	214337	0.642172508
214094	214343	0.855115483
214094	214364	0.743572472
214094	214377	0.872449638
214094	214396	0.836166176
214094	214407	0.843442885
214094	214415	0.859407807
214094	214417	0.672860762
214094	214444	0.816294519
214094	214462	0.521576825
214094	214533	0.522551102
214094	214556	0.803235699
214094	214586	0.545708277
214094	214609	0.804861535
214094	214611	0.838610412
214094	214613	0.585429877
214094	214647	0.803065816
214094	214679	0.552757874
214094	214680	0.610701283
214094	214701	0.701949052
214094	214712	0.61550224
214094	214733	0.853566908
214094	214777	0.651090578
214094	214834	0.805529298
214094	214841	0.800476372
214094	214868	0.822576106
214094	214914	0.837837392
214094	214950	0.894312456
214094	214961	0.577372083
214094	214965	0.553044414
214094	214981	0.590598791
214094	215008	0.898609684
214094	215014	0.850744235
214094	215037	0.546668032
214099	214082	0.592588491
214099	214094	0.894263941
214099	214110	0.613605426
214099	214112	0.875331602
214099	214123	0.912919408
214099	214141	0.579825202
214099	214167	0.574056394
214099	214172	0.53310053
214099	214193	0.580432506
214099	214198	0.859706947
214099	214223	0.508114392
214099	214263	0.673877668
214099	214301	0.70855038
214099	214303	0.677346914
214099	214304	0.771566633
214099	214305	0.717789292
214099	214306	0.717779274
214099	214333	0.838072772
214099	214337	0.643957731
214099	214343	0.860397242
214099	214364	0.730596508
214099	214377	0.905274419
214099	214396	0.873259859
214099	214407	0.865976514
214099	214415	0.864048261
214099	214417	0.723479348
214099	214444	0.833129343
214099	214462	0.539628685
214099	214533	0.517112047
214099	214556	0.819709009
214099	214586	0.556985813
214099	214609	0.81201993
214099	214611	0.852312805
214099	214613	0.596437563
214099	214636	0.533061767
214099	214647	0.828583042
214099	214679	0.552770196
214099	214680	0.589178078
214099	214701	0.714133022
214099	214712	0.620491943
214099	214733	0.858983175
214099	214777	0.698944282
214099	214834	0.839817344
214099	214841	0.828047003
214099	214868	0.846634344
214099	214914	0.859749791
214099	214950	0.90472769
214099	214961	0.570257959
214099	214965	0.564051251
214099	214981	0.608599604
214099	215008	0.917884014
214099	215014	0.88452169
214099	215037	0.544206514
214110	214094	0.602825061
214110	214099	0.613605426
214110	214112	0.632178591
214110	214123	0.606048729
214110	214167	0.57832043
214110	214198	0.586607607
214110	214301	0.6011987
214110	214303	0.578359889
214110	214304	0.625456188
214110	214305	0.609869276
214110	214306	0.609860764
214110	214333	0.575881467
214110	214343	0.613358558
214110	214364	0.601810928
214110	214377	0.61703053
214110	214396	0.579605884
214110	214407	0.59293111
214110	214415	0.607162667
214110	214444	0.641235666
214110	214556	0.655702045
214110	214609	0.558960672
214110	214611	0.641799304
214110	214613	0.524455891
214110	214647	0.553739689
214110	214701	0.605716904
214110	214733	0.5835811
214110	214834	0.558519287
214110	214841	0.563872936
214110	214868	0.566101582
214110	214914	0.603934237
214110	214950	0.600470353
214110	214981	0.60829863
214110	215008	0.609820228
214110	215014	0.613295404
214112	214082	0.580405
214112	214094	0.867225179
214112	214099	0.875331602
214112	214110	0.632178591
214112	214123	0.878996338
214112	214141	0.57390226
214112	214167	0.584659701
214112	214186	0.50471216
214112	214193	0.642561908
214112	214198	0.81647282
214112	214263	0.603353528
214112	214301	0.723315692
214112	214303	0.700010994
214112	214304	0.777930795
214112	214305	0.738990748
214112	214306	0.738980435
214112	214333	0.805612636
214112	214337	0.629747002
214112	214343	0.827198561
214112	214364	0.73269566
214112	214377	0.897479976
214112	214396	0.824226106
214112	214407	0.844677592
214112	214415	0.816740041
214112	214417	0.678150272
214112	214444	0.825288344
214112	214533	0.519773189
214112	214556	0.829648024
214112	214586	0.562564529
214112	214609	0.795219279
214112	214611	0.885805755
214112	214613	0.611203857
214112	214636	0.501962312
214112	214647	0.76510193
214112	214679	0.572355071
214112	214680	0.596124345
214112	214701	0.724294165
214112	214712	0.606714467
214112	214733	0.804593313
214112	214777	0.667605975
214112	214834	0.778173737
214112	214841	0.790372834
214112	214868	0.792672683
214112	214914	0.816511684
214112	214950	0.847458195
214112	214961	0.573866226
214112	214965	0.539930152
214112	214981	0.631083203
214112	215008	0.887785562
214112	215014	0.848111941
214112	215037	0.541599049
214123	214082	0.595693225
214123	214094	0.891297671
214123	214099	0.912919408
214123	214110	0.606048729
214123	214112	0.878996338
214123	214141	0.573688048
214123	214167	0.574591494
214123	214172	0.525794273
214123	214193	0.581689204
214123	214198	0.822962616
214123	214263	0.633408543
214123	214301	0.709347272
214123	214303	0.676874004
214123	214304	0.764602187
214123	214305	0.719659223
214123	214306	0.719944295
214123	214333	0.814287903
214123	214337	0.649673703
214123	214343	0.879969802
214123	214364	0.718039917
214123	214377	0.856532171
214123	214396	0.829836795
214123	214407	0.845654274
214123	214415	0.828841953
214123	214417	0.689723044
214123	214444	0.818947716
214123	214533	0.515410385
214123	214556	0.807027266
214123	214586	0.553549081
214123	214609	0.794849186
214123	214611	0.824750216
214123	214613	0.602691362
214123	214636	0.507671187
214123	214647	0.842085504
214123	214679	0.553273152
214123	214680	0.586840102
214123	214701	0.717554194
214123	214712	0.624795962
214123	214733	0.820164154
214123	214777	0.6738007
214123	214834	0.777863239
214123	214841	0.791661649
214123	214868	0.797588973
214123	214914	0.813943766
214123	214950	0.862532098
214123	214961	0.581461908
214123	214965	0.553778708
214123	214981	0.611209788
214123	215008	0.910625359
214123	215014	0.841135333
214123	215037	0.544773717
214143	214794	0.518533891
214141	214094	0.573625917
214141	214099	0.579825202
214141	214112	0.57390226
214141	214123	0.573688048
214141	214198	0.558712769
214141	214301	0.530773075
214141	214303	0.506238501
214141	214304	0.557642814
214141	214305	0.537668558
214141	214306	0.537661054
214141	214333	0.56684375
214141	214343	0.569337642
214141	214364	0.529028364
214141	214377	0.572825235
214141	214396	0.560104062
214141	214407	0.562044586
214141	214415	0.562004632
214141	214444	0.567269588
214141	214556	0.581717337
214141	214609	0.545647344
214141	214611	0.584821328
214141	214647	0.512702054
214141	214701	0.536429125
214141	214733	0.541621777
214141	214834	0.528802446
214141	214841	0.530107714
214141	214868	0.537605832
214141	214914	0.562871931
214141	214950	0.562703978
214141	215008	0.579351443
214141	215014	0.563175596
214167	214094	0.562668724
214167	214099	0.574056394
214167	214110	0.57832043
214167	214112	0.584659701
214167	214123	0.574591494
214167	214198	0.549629204
214167	214301	0.57811355
214167	214303	0.556025098
214167	214304	0.598799542
214167	214305	0.586414452
214167	214306	0.586406267
214167	214333	0.544403123
214167	214343	0.561760962
214167	214364	0.574595634
214167	214377	0.583081855
214167	214396	0.546481546
214167	214407	0.558157561
214167	214415	0.57711594
214167	214444	0.595780213
214167	214556	0.613537732
214167	214609	0.517421797
214167	214611	0.591904378
214167	214613	0.530158107
214167	214701	0.582962234
214167	214733	0.542936809
214167	214834	0.522672992
214167	214841	0.532067658
214167	214868	0.523836376
214167	214914	0.554502585
214167	214950	0.557696932
214167	214981	0.533695735
214167	215008	0.567809519
214167	215014	0.562838864
214168	214171	0.509344463
214171	214168	0.509344463
214172	214094	0.513027346
214172	214099	0.53310053
214172	214123	0.525794273
214172	214343	0.508594482
214172	214647	0.50317368
214172	214950	0.502863719
214172	215008	0.52240576
214178	214072	0.562519746
